Date,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM,ABT,AMZN,AVGO,CAT,JNJ,JPM,NVDA,PLD,TSLA,WMT,XOM
2015-01-01,36.305118560791016,17.726499557495117,7.78595495223999,60.33468246459961,74.19881439208984,40.397579193115234,0.4607221484184265,32.87754821777344,13.573332786560059,23.017377853393555,54.541595458984375,44.7599983215332,17.726499557495117,10.288000106811523,79.97000122070312,100.13999938964844,54.380001068115234,0.47999998927116394,45.13999938964844,13.573332786560059,28.32666778564453,87.41999816894531,45.869998931884766,17.975000381469727,10.833999633789062,92.37000274658203,106.5,62.959999084472656,0.518750011920929,47.560001373291016,14.883333206176758,30.323333740234375,93.05000305175781,43.36000061035156,14.262499809265137,9.517999649047852,78.80999755859375,100.08999633789062,54.369998931884766,0.47699999809265137,43.060001373291016,12.333333015441895,28.299999237060547,86.02999877929688,45.25,15.628999710083008,10.093000411987305,91.7699966430664,105.05000305175781,62.18000030517578,0.503250002861023,43.310001373291016,14.857999801635742,28.75666618347168,92.25,116055300,2061142000,382607000,169973700,195025900,468205900,4140352000,69088300,1353076500,476783100,326819500
2015-02-01,38.625492095947266,19.007999420166016,9.658271789550781,63.0581169128418,75.95486450195312,45.816261291503906,0.5293506979942322,31.107656478881836,13.555999755859375,22.73297882080078,55.24036407470703,47.369998931884766,19.007999420166016,12.76200008392334,82.9000015258789,102.51000213623047,61.279998779296875,0.5515000224113464,42.709999084472656,13.555999755859375,27.976667404174805,88.54000091552734,47.880001068115234,19.4685001373291,12.98900032043457,85.80999755859375,103.33000183105469,61.91999816894531,0.5625,45.810001373291016,15.031999588012695,29.333332061767578,93.44999694824219,44.279998779296875,17.500499725341797,9.916000366210938,79.48999786376953,97.1500015258789,54.27000045776367,0.47350001335144043,42.31999969482422,12.885333061218262,27.516666412353516,87.5,44.93000030517578,17.502500534057617,10.324999809265137,80.08000183105469,100.48999786376953,54.529998779296875,0.4830000102519989,45.380001068115234,13.597999572753906,28.26333236694336,87.8499984741211,112821400,1416924000,447338000,109718100,191367400,319008100,4193540000,61089300,1600762500,415621500,276447700
2015-03-01,37.77748489379883,18.604999542236328,9.609838485717773,60.875030517578125,75.06139373779297,45.292911529541016,0.5041688084602356,31.72675323486328,12.584667205810547,22.27794075012207,53.430908203125,46.33000183105469,18.604999542236328,12.697999954223633,80.02999877929688,100.5999984741211,60.58000183105469,0.5232499837875366,43.560001373291016,12.584667205810547,27.416667938232422,85.0,47.849998474121094,19.42099952697754,13.628000259399414,83.79000091552734,103.41000366210938,62.869998931884766,0.5902500152587891,44.959999084472656,13.746000289916992,28.0,88.5199966430664,46.099998474121094,18.282499313354492,11.696000099182129,78.19000244140625,98.22000122070312,58.869998931884766,0.5115000009536743,41.150001525878906,12.09333324432373,26.84666633605957,82.68000030517578,47.34000015258789,19.042499542236328,12.720999717712402,82.9000015258789,102.51000213623047,61.279998779296875,0.550000011920929,42.709999084472656,13.513333320617676,27.976667404174805,88.33999633789062,113588200,1110056000,567836000,125192400,177464600,332553100,7310444000,77079000,1844851500,427599000,330260500
2015-04-01,37.85084915161133,21.089000701904297,8.871586799621582,66.08550262451172,74.01683044433594,47.296627044677734,0.5347612500190735,29.529949188232422,15.069999694824219,21.26732063293457,54.92070388793945,46.41999816894531,21.089000701904297,11.687999725341797,86.87999725341797,99.19999694824219,63.2599983215332,0.5550000071525574,40.20000076293945,15.069999694824219,26.016666412353516,87.37000274658203,48.619998931884766,22.63249969482422,12.800000190734863,87.91999816894531,102.13999938964844,64.4800033569336,0.5709999799728394,44.47999954223633,15.916666984558105,27.426666259765625,88.66999816894531,45.54999923706055,18.41699981689453,11.456000328063965,79.38999938964844,98.04000091552734,59.650001525878906,0.5162500143051147,39.9900016784668,12.403332710266113,25.850000381469727,83.80999755859375,46.33000183105469,18.604999542236328,12.666000366210938,80.02999877929688,100.45999908447266,60.40999984741211,0.5252500176429749,43.560001373291016,12.579999923706055,27.426666259765625,85.69999694824219,98185000,1688096000,431818000,128138200,171578200,325069500,5673652000,69503000,1484176500,431055300,251671200
2015-05-01,39.831172943115234,21.46150016784668,11.239008903503418,65.436767578125,74.71819305419922,49.50760269165039,0.5330749154090881,29.081857681274414,16.719999313354492,20.237333297729492,53.556636810302734,48.599998474121094,21.46150016784668,14.807000160217285,85.31999969482422,100.13999938964844,65.77999877929688,0.5532500147819519,39.59000015258789,16.719999313354492,24.75666618347168,85.19999694824219,49.43000030517578,21.950000762939453,14.923999786376953,89.62000274658203,104.4800033569336,67.19000244140625,0.5720000267028809,41.439998626708984,16.857999801635742,26.64666748046875,90.08999633789062,46.22999954223633,20.727500915527344,11.538999557495117,85.11000061035156,98.66000366210938,63.25,0.5095000267028809,39.34000015258789,14.683333396911621,24.71666717529297,84.7699966430664,46.709999084472656,21.19099998474121,11.791999816894531,87.69000244140625,99.62000274658203,63.70000076293945,0.559499979019165,40.400001525878906,15.329333305358887,26.066667556762695,87.8499984741211,89226800,1039660000,800258000,87207100,143779800,267792200,7081336000,59337200,1336917000,453377100,198924100
2015-06-01,40.224571228027344,21.704500198364258,10.089834213256836,65.05328369140625,73.24884796142578,50.99778747558594,0.48665881156921387,27.25275421142578,17.884000778198242,19.44921875,52.731998443603516,49.08000183105469,21.704500198364258,13.293000221252441,84.81999969482422,97.45999908447266,67.76000213623047,0.5027499794960022,37.099998474121094,17.884000778198242,23.643333435058594,83.19999694824219,50.470001220703125,22.351999282836914,15.050000190734863,88.80999755859375,100.83999633789062,69.81999969482422,0.5649999976158142,40.2400016784668,18.0939998626709,25.066667556762695,85.97000122070312,47.720001220703125,20.957000732421875,13.104000091552734,84.69999694824219,97.01000213623047,65.58000183105469,0.49924999475479126,37.029998779296875,16.3786678314209,23.593332290649414,82.80000305175781,48.77000045776367,21.520000457763672,14.824000358581543,86.05999755859375,100.27999877929688,65.98999786376953,0.5567499995231628,39.470001220703125,16.76066780090332,24.89666748046875,85.25,108410700,1099750000,772095000,76847900,170023700,337237800,7333832000,68994400,982096500,529697100,238808600
2015-07-01,41.54407501220703,26.8075008392334,9.525379180908203,60.30583953857422,75.315673828125,51.577327728271484,0.4827868342399597,30.10340690612793,17.74333381652832,19.737125396728516,50.203147888183594,50.689998626708984,26.8075008392334,12.513999938964844,78.62999725341797,100.20999908447266,68.52999877929688,0.4987500011920929,40.61000061035156,17.74333381652832,23.99333381652832,79.20999908447266,51.7400016784668,29.028499603271484,13.774999618530273,85.44999694824219,101.36000061035156,70.61000061035156,0.5224999785423279,40.9900016784668,19.110000610351562,24.713333129882812,83.52999877929688,48.91999816894531,21.278499603271484,12.35200023651123,74.7699966430664,96.63999938964844,65.20999908447266,0.47725000977516174,37.04999923706055,16.71933364868164,23.453332901000977,78.93000030517578,49.400001525878906,21.967500686645508,13.440999984741211,85.38999938964844,98.30000305175781,68.12000274658203,0.515250027179718,37.290000915527344,18.073999404907227,23.866666793823242,83.27999877929688,118347200,2041400000,828061000,144266200,151835800,325426300,5480404000,59299700,1200915000,451261200,274029000
2015-08-01,37.29766845703125,25.644500732421875,9.588556289672852,59.16751480102539,70.63333129882812,48.55851745605469,0.5440123677253723,28.16866111755371,16.604000091552734,17.749160766601562,47.686981201171875,45.290000915527344,25.644500732421875,12.597000122070312,76.44000244140625,93.9800033569336,64.0999984741211,0.5619999766349792,38.0,16.604000091552734,21.57666778564453,75.23999786376953,51.16999816894531,27.136999130249023,12.803999900817871,80.30999755859375,101.0,69.41999816894531,0.5987499952316284,42.4900016784668,18.066667556762695,24.56333351135254,79.29000091552734,42.29999923706055,22.549999237060547,10.0,70.2300033569336,81.79000091552734,50.06999969482422,0.4962500035762787,36.41999816894531,13.0,20.5,66.55000305175781,50.88999938964844,26.872499465942383,12.642000198364258,78.41999816894531,100.0,68.58999633789062,0.5027499794960022,40.65999984741211,17.752666473388672,23.946666717529297,78.69999694824219,148048600,1657264000,809920000,155993300,194654400,373209100,9469492000,67444000,1728961500,682083300,387523600
2015-09-01,33.12236785888672,25.594499588012695,9.515484809875488,50.59117889404297,70.6965560913086,46.187400817871094,0.5990360379219055,28.8358211517334,16.559999465942383,17.900718688964844,47.563804626464844,40.220001220703125,25.594499588012695,12.50100040435791,65.36000061035156,93.3499984741211,60.970001220703125,0.6162499785423279,38.900001525878906,16.559999465942383,21.613332748413086,74.3499984741211,45.150001525878906,27.48900032043457,13.494999885559082,76.16000366210938,96.19000244140625,64.63999938964844,0.6169999837875366,39.20000076293945,18.10466766357422,22.336666107177734,75.47000122070312,39.0,24.524999618530273,11.805999755859375,62.9900016784668,89.9000015258789,58.72999954223633,0.5350000262260437,36.2599983215332,15.79800033569336,20.97333335876465,71.51000213623047,44.220001220703125,24.957000732421875,12.152000427246094,74.5,92.29000091552734,62.849998474121094,0.5457500219345093,37.220001220703125,16.022666931152344,21.266666412353516,73.30000305175781,160513800,1535378000,713630000,173293300,202039800,354030500,6480208000,64133600,1204321500,572442000,316644500
